season,stateoc,agecat,osh,rcu,pi
2,MT,5,1,1776,167
2,NC,1,0,78,2
2,NC,1,1,28,5
2,NC,2,0,18,6
2,NC,2,1,16,3
2,NC,3,0,672,107
2,NC,3,1,922,38
2,NC,4,0,2121,365
2,NC,4,1,2949,138
2,NC,5,0,8527,2095
2,NC,5,1,15217,1360
2,ND,1,0,5,0
2,ND,1,1,1,1
2,ND,2,0,2,0
2,ND,2,1,0,0
2,ND,3,0,47,10
2,ND,3,1,43,3
2,ND,4,0,174,41
2,ND,4,1,141,7
2,ND,5,0,939,207
2,ND,5,1,1317,126
2,NE,1,0,16,4
2,NE,1,1,10,3
2,NE,2,0,7,0
2,NE,2,1,5,0
2,NE,3,0,96,18
2,NE,3,1,141,13
2,NE,4,0,316,59
2,NE,4,1,465,26
2,NE,5,0,1719,370
2,NE,5,1,3809,317
2,NH,1,0,0,0
2,NH,1,1,1,0
2,NH,2,0,1,0
2,NH,2,1,0,0
2,NH,3,0,44,9
2,NH,3,1,76,0
2,NH,4,0,174,32
2,NH,4,1,315,4
2,NH,5,0,1049,254
2,NH,5,1,2256,199
2,NJ,1,0,44,3
2,NJ,1,1,15,2
2,NJ,2,0,9,4
2,NJ,2,1,14,1
2,NJ,3,0,461,60
2,NJ,3,1,591,41
2,NJ,4,0,1565,236
2,NJ,4,1,1990,59
2,NJ,5,0,8239,1354
2,NJ,5,1,14815,711
2,NM,1,0,6,0
2,NM,1,1,13,4
2,NM,2,0,3,0
2,NM,2,1,2,0
2,NM,3,0,114,25
2,NM,3,1,170,15
2,NM,4,0,305,60
2,NM,4,1,605,44
2,NM,5,0,1256,354
2,NM,5,1,3424,329
2,NV,1,0,22,1
2,NV,1,1,6,2
2,NV,2,0,10,0
2,NV,2,1,8,1
2,NV,3,0,234,54
2,NV,3,1,340,27
2,NV,4,0,658,120
2,NV,4,1,888,35
2,NV,5,0,2197,522
2,NV,5,1,3738,151
2,NY,1,0,128,15
2,NY,1,1,50,13
2,NY,2,0,38,5
2,NY,2,1,49,6
2,NY,3,0,1204,185
2,NY,3,1,1431,74
2,NY,4,0,4397,732
2,NY,4,1,4601,173
2,NY,5,0,22330,4676
2,NY,5,1,31181,1692
2,OH,1,0,86,12
2,OH,1,1,38,9
2,OH,2,0,24,4
2,OH,2,1,31,5
2,OH,3,0,786,156
2,OH,3,1,1130,85
2,OH,4,0,2527,458
2,OH,4,1,4263,193
2,OH,5,0,10933,2303
2,OH,5,1,25940,2265
2,OK,1,0,30,2
2,OK,1,1,14,2
2,OK,2,0,11,0
2,OK,2,1,11,4
2,OK,3,0,301,62
2,OK,3,1,476,18
2,OK,4,0,1100,210
2,OK,4,1,1458,49
2,OK,5,0,4156,1010
2,OK,5,1,7258,455
2,OR,1,0,17,3
2,OR,1,1,4,0
2,OR,2,0,10,2
2,OR,2,1,4,0
2,OR,3,0,137,21
2,OR,3,1,257,16
2,OR,4,0,608,96
2,OR,4,1,1082,40
2,OR,5,0,2657,510
2,OR,5,1,7572,545
2,PA,1,0,72,5
2,PA,1,1,26,5
2,PA,2,0,28,7
2,PA,2,1,12,2
2,PA,3,0,784,117
2,PA,3,1,987,62
2,PA,4,0,2664,399
2,PA,4,1,3636,133
2,PA,5,0,13962,2730
2,PA,5,1,27427,1904
2,RI,1,0,5,0
2,RI,1,1,2,0
2,RI,2,0,2,0
2,RI,2,1,2,1
2,RI,3,0,53,13
2,RI,3,1,81,8
2,RI,4,0,181,45
2,RI,4,1,311,17
2,RI,5,0,999,230
2,RI,5,1,2373,246
2,SC,1,0,34,2
2,SC,1,1,17,0
2,SC,2,0,11,4
2,SC,2,1,17,2
2,SC,3,0,344,61
2,SC,3,1,595,23
2,SC,4,0,1126,163
2,SC,4,1,1747,75
2,SC,5,0,4018,832
2,SC,5,1,7587,558
2,SD,1,0,5,0
2,SD,1,1,5,2
2,SD,2,0,2,0
2,SD,2,1,3,0
